,Costs
786,50371.0
787,49345.0
788,48976.0
789,51298.0
790,50083.0
791,50659.0
792,50704.0
793,50299.0
794,50146.0
795,50299.0
796,52432.0
797,51361.0
798,48337.0
799,50470.0
800,50326.0
801,50650.0
802,49606.0
803,50848.0
804,49120.0
805,48391.0
806,50578.0
807,49444.0
808,49228.0
809,51352.0
810,50452.0
811,50416.0
812,50263.0
813,50173.0
814,50578.0
815,49849.0
816,51829.0
817,52432.0
818,48877.0
819,51028.0
820,51568.0
821,50092.0
822,50623.0
823,49651.0
824,51163.0
825,50650.0
826,50686.0
827,49255.0
828,49516.0
829,48220.0
830,50236.0
831,51244.0
832,48355.0
833,50416.0
834,51001.0
835,50074.0
836,49309.0
837,50335.0
838,50713.0
839,51694.0
840,50641.0
841,50434.0
842,51640.0
843,51226.0
844,49417.0
845,49930.0
846,48076.0
847,49831.0
848,50443.0
849,48949.0
850,48238.0
851,48589.0
852,50020.0
853,49192.0
854,49129.0
855,49093.0
856,50524.0
857,52171.0
858,50452.0
859,51082.0
860,48958.0
861,52387.0
862,49696.0
863,51064.0
864,50353.0
865,51010.0
866,52549.0
867,50002.0
868,49246.0
869,50380.0
870,49498.0
871,50155.0
872,48517.0
873,51028.0
874,49516.0
875,49030.0
876,51658.0
877,50731.0
878,49228.0
879,50461.0
880,49732.0
881,49120.0
882,50218.0
883,50722.0
884,51019.0
885,49831.0
886,48130.0
887,49831.0
888,48004.0
889,51010.0
890,52234.0
891,50632.0
892,48670.0
893,50605.0
894,51037.0
895,50254.0
896,49993.0
897,49885.0
898,50029.0
899,50659.0
900,50092.0
901,48472.0
902,50479.0
903,49552.0
904,49822.0
905,51748.0
906,49804.0
907,51217.0
908,46528.0
909,51028.0
910,51136.0
911,49327.0
912,48517.0
913,51766.0
914,50011.0
915,51406.0
916,51370.0
917,49237.0
918,50866.0
919,50380.0
920,50389.0
921,49813.0
922,49669.0
923,48958.0
924,49840.0
925,49291.0
926,49975.0
927,51730.0
928,50344.0
929,51154.0
930,49399.0
931,51082.0
932,49066.0
933,49444.0
934,49642.0
935,50047.0
936,50596.0
937,50902.0
938,50101.0
939,49408.0
940,50191.0
941,49723.0
942,49921.0
943,52549.0
944,48580.0
945,47716.0
946,51235.0
947,49786.0
948,49003.0
949,51343.0
950,51541.0
951,51064.0
952,50731.0
953,49624.0
954,49885.0
955,48904.0
956,50821.0
957,50497.0
958,48823.0
959,49993.0
960,51442.0
961,50335.0
962,50209.0
963,49102.0
964,51064.0
965,47662.0
966,50821.0
967,50776.0
968,51451.0
969,49210.0
970,48157.0
971,52837.0
972,49822.0
973,50002.0
974,50335.0
975,49903.0
976,49984.0
977,49957.0
978,49246.0
979,50137.0
980,51685.0
981,50254.0
982,51424.0
983,49201.0
984,50731.0
985,51172.0
986,50281.0
987,50965.0
988,51226.0
989,48715.0
990,49444.0
991,53008.0
992,50695.0
993,49804.0
994,49201.0
995,50272.0
996,51271.0
997,50281.0
998,50686.0
999,51091.0
1000,50596.0
1001,50029.0
1002,50173.0
1003,50047.0
1004,49912.0
1005,50146.0
1006,49066.0
1007,50326.0
1008,50173.0
1009,49723.0
1010,50317.0
1011,48661.0
1012,49381.0
1013,51325.0
1014,50992.0
1015,52072.0
1016,49264.0
1017,50173.0
1018,49552.0
1019,51793.0
1020,49255.0
1021,50245.0
1022,51739.0
1023,49363.0
1024,51289.0
1025,48067.0
1026,48742.0
1027,50992.0
1028,51010.0
1029,48904.0
1030,49759.0
1031,51298.0
1032,50164.0
1033,48544.0
1034,50974.0
1035,50182.0
1036,50659.0
1037,51622.0
1038,50902.0
1039,49993.0
1040,50380.0
1041,51631.0
1042,49723.0
1043,49984.0
1044,51091.0
1045,49813.0
1046,49930.0
1047,50281.0
1048,51073.0
1049,50758.0
1050,50074.0
1051,51406.0
1052,50542.0
1053,47995.0
1054,49651.0
1055,49516.0
1056,48490.0
1057,49786.0
1058,49444.0
1059,50569.0
1060,49894.0
1061,51442.0
1062,49372.0
1063,50119.0
1064,50164.0
1065,48976.0
1066,50056.0
1067,49894.0
1068,50974.0
1069,51019.0
1070,50200.0
1071,50506.0
1072,49903.0
1073,49120.0
1074,51505.0
1075,49282.0
1076,50623.0
1077,49624.0
1078,49984.0
1079,51730.0
1080,51910.0
1081,50191.0
1082,49813.0
1083,51010.0
1084,50065.0
1085,49777.0
1086,50767.0
1087,50659.0
1088,50281.0
1089,50218.0
1090,49840.0
1091,49381.0
1092,50335.0
1093,50992.0
1094,50551.0
1095,51397.0
1096,51280.0
1097,49921.0
1098,49057.0
1099,50785.0
1100,50938.0
1101,50632.0
1102,50182.0
1103,49300.0
1104,48850.0
1105,49777.0
1106,48841.0
1107,48508.0
1108,50200.0
1109,50119.0
1110,50947.0
1111,49183.0
1112,49282.0
1113,47779.0
1114,49309.0
1115,52207.0
1116,49390.0
1117,50686.0
1118,50812.0
1119,48724.0
1120,50020.0
1121,51280.0
1122,51028.0
1123,50695.0
1124,51244.0
1125,49498.0
1126,50650.0
1127,50380.0
1128,48769.0
1129,49417.0
1130,51847.0
1131,51595.0
1132,49453.0
1133,48823.0
1134,50353.0
1135,50560.0
1136,49885.0
1137,51199.0
1138,49300.0
1139,48787.0
1140,49291.0
1141,50011.0
1142,49939.0
1143,50830.0
1144,48859.0
1145,51541.0
1146,49579.0
1147,52558.0
1148,50434.0
1149,49354.0
1150,49804.0
1151,49939.0
1152,51073.0
1153,49615.0
1154,49858.0
1155,49273.0
1156,50407.0
1157,50884.0
1158,48319.0
1159,51037.0
1160,50659.0
1161,50731.0
1162,49660.0
1163,49957.0
1164,49138.0
1165,50137.0
1166,49408.0
1167,50965.0
1168,50452.0
1169,48607.0
1170,49489.0
1171,51694.0
1172,49336.0
1173,52360.0
1174,49894.0
1175,49444.0
1176,50902.0
1177,51379.0
1178,51082.0
1179,50596.0
1180,50875.0
1181,50686.0
1182,49462.0
1183,52450.0
1184,50380.0
1185,52270.0
1186,48967.0
1187,51784.0
1188,48544.0
1189,50137.0
1190,50560.0
1191,51433.0
1192,51334.0
1193,50119.0
1194,51316.0
1195,52126.0
1196,51073.0
1197,52423.0
1198,51289.0
1199,49984.0
1200,48319.0
1201,50524.0
1202,48616.0
1203,52234.0
1204,52207.0
1205,50020.0
1206,48418.0
1207,50173.0
1208,48013.0
